date,A_buyhold,B_overlay,C_pp_only
2026-05-22,1.3392634114595288,1.320254140945548,1.3987276259726789
2026-05-25,1.3453702692609522,1.324981743427581,1.4012670159776321
2026-05-26,1.331234585735827,1.3167458832155396,1.4038110162451396
2026-05-27,1.3258303347894482,1.3149067773037857,1.4063596351451326
2026-05-28,1.3268796166610903,1.317872894677419,1.4089128810627385
2026-05-29,1.3296513973905422,1.317155655314397,1.4114707623983078
2026-06-01,1.333730631321884,1.326567189232267,1.414033287567442
2026-06-02,1.3584814517568775,1.3480228842645179,1.4166004650010207
2026-06-03,1.3315633783025411,1.3330109943795687,1.41917230314523
2026-06-04,1.3314766034190673,1.3337413722179745,1.42174881046159
2026-06-05,1.30205998033313,1.3146133336424157,1.424329995426983
2026-06-08,1.3203844910522955,1.325322849312667,1.4269158665336807
2026-06-09,1.3043988704986673,1.3191276713289617,1.4295064322893727
2026-06-10,1.2978141366171625,1.3141476523928761,1.432101701217194
2026-06-11,1.3076125131852412,1.3212494718095433,1.4347016818557536
2026-06-12,1.3240119080474624,1.331360062700898,1.4373063827591628
2026-06-15,1.3687353031198388,1.3606946493693886,1.439915812497062
2026-06-16,1.3634591735800574,1.3603873588280033,1.4425299796546502
2026-06-17,1.3510503688066302,1.3544935794055202,1.4451488928327132
2026-06-18,1.3776693060464484,1.3757092759725087,1.447772560647651
2026-06-19,1.372600572298293,1.373265535840643,1.4504009917315068
2026-06-22,1.3730318145023015,1.3743919098939412,1.4530341947319954
2026-06-23,1.3485823466704125,1.3590786620169943,1.4556721783125313
2026-06-24,1.3239367888618252,1.3473282350849798,1.4583149511522575
2026-06-25,1.3106727972658074,1.3438390264064943,1.4609625219460745
2026-06-26,1.3079363266185415,1.344260544433105,1.4636148994046676
2026-06-29,1.3146302541673642,1.3431711084040021,1.4662720922545367
2026-06-30,1.3107492264444944,1.3463447884534498,1.4689341092380248
2026-07-01,1.3302478128427733,1.3555843623246906,1.4716009591133463
2026-07-02,1.3435216559714986,1.3606961787723877,1.4742726506546167
2026-07-03,1.3419196903812018,1.3604793355473739,1.47694919265188
2026-07-06,1.343048159062094,1.3620611943883068,1.4796305939111396
2026-07-07,1.3449421568897986,1.3658213054604018,1.4823168632543853
2026-07-08,1.327074572812648,1.3581254920799055,1.4850080095196236
2026-07-09,1.3228239778190125,1.3562447837517129,1.4877040415609064
2026-07-10,1.343250983335722,1.3722153735448788,1.4904049682483602
2026-07-13,1.3205401882968597,1.357064503770587,1.493110798468215
2026-07-14,1.332088325473787,1.364753048087024,1.495821541122834
2026-07-15,1.3322456566148626,1.3655962081462154,1.4985372051307424
2026-07-16,1.3248346091902279,1.361590484943729,1.5012577994266572
2026-07-17,1.306685017639217,1.3488527933035666,1.5039833329615162
2026-07-20,1.3161314637810937,1.354510744594399,1.5067138147025079
2026-07-21,1.319065206478348,1.3567403552913146,1.5094492536331001
2026-07-22,1.3326424700301402,1.3691346433862432,1.512189658753071
2026-07-23,1.3201563559109226,1.3637329392090163,1.5149350390785372
2026-07-24,1.3099143016271113,1.3585661349017502,1.5176854036419842
2026-07-27,1.299659594673786,1.345939977206223,1.5204407614922961
2026-07-28,1.2919588712855858,1.3426575855434322,1.5232011216947854
2026-07-29,1.2736513234595301,1.3309689830565874,1.5259664933312223
2026-07-30,1.270081946822988,1.3287282516708079,1.528736885499865
2026-07-31,1.2805931627186053,1.3401917461020356,1.5315123073154902
2026-08-03,1.283655801926059,1.3436720555355328,1.5342927679094214
2026-08-04,1.3093427189352507,1.362137082222492,1.537078276429561
2026-08-05,1.3184492432820891,1.3712139543334136,1.5398688420404187
2026-08-06,1.3237119465660678,1.3763448755198693,1.542664473923143
2026-08-07,1.3305611868150216,1.3817131345783995,1.5454651812755504
2026-08-10,1.3287888486919512,1.3820148438426203,1.5482709733121562
2026-08-11,1.3207308578748713,1.3778453420230896,1.5510818592642044
2026-08-12,1.35128129894382,1.4018450333998325,1.5538978483796986
2026-08-13,1.355447379799799,1.4041607957965294,1.556718949923432
2026-08-14,1.3553735262747653,1.4074102494394454,1.5595451731770178
2026-08-17,1.3586540415706496,1.4079845089121181,1.5623765274389205
2026-08-18,1.3493627996740374,1.4036931271150421,1.5652130220244858
2026-08-19,1.3830455145306033,1.4205070380898421,1.5680546662659711
2026-08-20,1.3875664252781572,1.4202901925534712,1.570901469512577
2026-08-21,1.400798942668616,1.4262959755555766,1.573753441130477
2026-08-24,1.3984533303777158,1.4223074035951677,1.5766105905028494
2026-08-25,1.4037375467628574,1.4259039955742503,1.5794729270299073
2026-08-26,1.4079221021927981,1.4301323530118326,1.58234046012893
2026-08-27,1.4306411231779645,1.4443551801046104,1.585213199234294
2026-08-28,1.419826697237448,1.439128900094132,1.5880911537975038
2026-08-31,1.4068237425627295,1.4297076338375372,1.590974333287223
2026-09-01,1.3910253083857735,1.4221349181004728,1.5938627471893059
2026-09-02,1.3846124925124288,1.421582258651974,1.596756405006828
2026-09-03,1.396839194142368,1.4219960808996888,1.5996553162601177
2026-09-04,1.4023246381418806,1.4275096400531204,1.602559490486788
